velocidad_bala,distancia,altura_bala,salto,agachado
-7,77,2,1,0
-7,70,2,1,0
-7,63,2,1,0
-7,56,2,1,0
-7,49,2,1,0
-7,42,2,1,0
-7,35,2,1,0
-7,28,2,1,0
-7,21,2,1,0
-7,14,2,1,0
-7,7,2,1,0
-7,0,2,1,0
-7,7,2,1,0
-7,14,2,1,0
-7,21,2,1,0
-7,28,2,1,0
-7,35,2,1,0
-7,42,2,1,0
-7,49,2,1,0
-11,700,0,1,0
-11,689,0,1,0
-11,678,0,0,0
-11,667,0,0,0
-11,656,0,1,0
-11,645,0,1,0
-11,634,0,1,0
-11,623,0,1,0
-11,612,0,1,0
-11,601,0,1,0
-11,590,0,1,0
-11,579,0,1,0
-11,568,0,1,0
-11,557,0,1,0
-11,546,0,1,0
-11,535,0,1,0
-11,524,0,1,0
-11,513,0,1,0
-11,502,0,1,0
-11,491,0,1,0
-11,480,0,1,0
-11,469,0,1,0
-11,458,0,1,0
-11,447,0,1,0
-11,436,0,1,0
-11,425,0,1,0
-11,414,0,1,0
-11,403,0,1,0
-11,392,0,1,0
-11,381,0,1,0
-11,370,0,1,0
-11,359,0,1,0
-11,348,0,1,0
-11,337,0,1,0
-11,326,0,0,0
-11,315,0,1,0
-11,304,0,1,0
-11,293,0,1,0
-11,282,0,1,0
-11,271,0,1,0
-11,260,0,1,0
-11,249,0,1,0
-11,238,0,1,0
-11,227,0,1,0
-11,216,0,1,0
-11,205,0,1,0
-11,194,0,1,0
-11,183,0,1,0
-11,172,0,1,0
-11,161,0,1,0
-11,150,0,1,0
-11,139,0,1,0
-11,128,0,1,0
-11,117,0,1,0
-11,106,0,1,0
-11,95,0,1,0
-11,84,0,1,0
-11,73,0,1,0
-11,62,0,1,0
-11,51,0,1,0
-11,40,0,1,0
-11,29,0,1,0
-11,18,0,1,0
-11,7,0,1,0
-11,700,2,0,0
-11,689,2,0,0
-11,678,2,0,0
-11,667,2,0,0
-11,656,2,0,0
-11,645,2,0,0
-11,634,2,1,0
-11,623,2,1,0
-11,612,2,1,0
-11,601,2,1,0
-11,590,2,1,0
-11,579,2,1,0
-11,568,2,1,0
-11,557,2,1,0
-11,546,2,1,0
-11,535,2,1,0
-11,524,2,1,0
-11,513,2,1,0
-11,502,2,1,0
-11,491,2,1,0
-11,480,2,1,0
-11,469,2,1,0
-11,458,2,1,0
-11,447,2,1,0
-11,436,2,1,0
-11,425,2,1,0
-11,414,2,1,0
-11,403,2,1,0
-11,392,2,1,0
-11,381,2,1,0
-11,370,2,1,0
-11,359,2,1,0
-11,348,2,1,0
-11,337,2,1,0
-11,326,2,1,0
-11,315,2,1,0
-11,304,2,0,0
-11,293,2,0,0
-11,282,2,1,0
-11,271,2,1,0
-11,260,2,1,0
-11,249,2,1,0
-11,238,2,1,0
-11,227,2,1,0
-11,216,2,1,0
-11,205,2,1,0
-11,194,2,1,0
-11,183,2,1,0
-11,172,2,1,0
-11,161,2,1,0
-11,150,2,1,0
-11,139,2,1,0
-11,128,2,1,0
-11,117,2,1,0
-11,106,2,1,0
-11,95,2,1,0
-11,84,2,1,0
-11,73,2,1,0
-11,62,2,1,0
-11,51,2,1,0
-11,40,2,1,0
-11,29,2,1,0
-11,18,2,1,0
-11,700,1,0,0
-11,689,1,0,0
-11,678,1,0,0
-11,667,1,0,0
-11,656,1,0,0
-11,645,1,0,0
-11,634,1,0,0
-11,623,1,0,0
-11,612,1,1,0
-11,601,1,1,0
-11,590,1,1,0
-11,579,1,1,0
-11,568,1,1,0
-11,557,1,1,0
-11,546,1,1,0
-11,535,1,1,0
-11,524,1,1,0
-11,513,1,1,0
-11,502,1,1,0
-11,491,1,1,0
-11,480,1,1,0
-11,469,1,1,0
-11,458,1,1,0
-11,447,1,1,0
-11,436,1,1,0
-11,425,1,1,0
-11,414,1,1,0
-11,403,1,1,0
-11,392,1,1,0
-11,381,1,1,0
-11,370,1,1,0
-11,359,1,1,0
-11,348,1,1,0
-11,337,1,1,0
-11,326,1,1,0
-11,315,1,1,0
-11,304,1,1,0
-11,293,1,1,0
-11,282,1,0,0
-11,271,1,0,0
